,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Cluster
0,Graduation,Single,58138.0,0.0,0.0,2012-09-04,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,1
1,Graduation,Single,46344.0,1.0,1.0,2014-03-08,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0
2,Graduation,Partner,71613.0,0.0,0.0,2013-08-21,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1
3,Graduation,Partner,26646.0,1.0,0.0,2014-02-10,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
4,PhD,Partner,58293.0,1.0,0.0,2014-01-19,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2
5,Master,Partner,62513.0,0.0,1.0,2013-09-09,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2
6,Graduation,Single,55635.0,0.0,1.0,2012-11-13,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2
7,PhD,Partner,33454.0,1.0,0.0,2013-05-08,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
8,PhD,Partner,30351.0,1.0,0.0,2013-06-06,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0
9,PhD,Partner,5648.0,1.0,1.0,2014-03-13,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,0
10,Graduation,Partner,52247.25135379061,1.0,0.0,2013-11-15,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0
11,UnderGraduate,Partner,7500.0,0.0,0.0,2012-11-13,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
